utility_to_osm - WARNING - ssr:stedsnr = 183440 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183442 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184034 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184085 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184095 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184221 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184227 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184188 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184192 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184432 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184442 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184908 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184887 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184981 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184982 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185199 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 209447 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 210015: Adding multiple names to name tag, this is not OK! name = "Einangsfossen;Einang"
utility_to_osm - WARNING - ssr:stedsnr = 210015 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270389 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270395 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270019 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 270044 has multiple (3) positions, using the first one!
