utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3007/3007-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 128886 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 145903. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 146123 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 146504. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 146402 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 146406: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bråtasetra')]"
utility_to_osm - ERROR - ssr:stedsnr = 146617. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 146931. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 146935. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 146670. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 146859. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 146869. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 147122. No positions found, skipping
utility_to_osm - ERROR - invalid name_status = "avslått navnevalg"
utility_to_osm - ERROR - invalid name_status = "avslått navnevalg"
utility_to_osm - ERROR - invalid name_status = "avslått navnevalg"
utility_to_osm - WARNING - ssr:stedsnr = 147007: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lauvlibekken')]"
utility_to_osm - WARNING - ssr:stedsnr = 147267 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 147410: No priority spelling found for lang = no, using alt_name to get "[('no', 'Grønvolldalen')]"
utility_to_osm - ERROR - ssr:stedsnr = 147671. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 148914. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 149537: No priority spelling found for lang = no, using alt_name to get "[('no', 'Hengslesetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 149463 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 150110: No priority spelling found for lang = no, using alt_name to get "[('no', 'Tossevikfjellet')]"
utility_to_osm - WARNING - ssr:stedsnr = 150561 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 150821 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 151170: No priority spelling found for lang = no, using alt_name to get "[('no', 'Mellomsetra')]"
