utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3821/3821-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 306874 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 352021 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 353157: No priority spelling found for lang = no, using alt_name to get "[('no', 'Gryteodden')]"
utility_to_osm - WARNING - ssr:stedsnr = 353177 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 474524 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 474565 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 476152 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 476880 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366223 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366302 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366314 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366321 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366411 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366433 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366434 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366380 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366511 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366703 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366712 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366716 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366717 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366635 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366677 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366684 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366690 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366694 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366809 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366813 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366814 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366837 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366845 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366874 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366877 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366925 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 366931 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 367489 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487095 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487129 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487335 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487363 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487380 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487338 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487342 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487576: No priority spelling found for lang = no, using alt_name to get "[('no', 'Bjårvik')]"
utility_to_osm - WARNING - ssr:stedsnr = 487576 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487694 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487807 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487810 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487769 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 487778 has multiple (2) positions, using the first one!
