utility_to_osm - WARNING - ssr:stedsnr = 267392 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267916 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267917 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267920 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 267923 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 268368 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 206903 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210010 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210103 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210122 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210129 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210141 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210242 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210264 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210268 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210283 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210285 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210294 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210402 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210407 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210314 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210318 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210324 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210330 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 210393 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 216105 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 220811 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271001 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271004 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 271009 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 222590 has multiple (2) positions, using the first one!
