utility_to_osm - WARNING - ssr:stedsnr = 441726 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441659 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441662 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441663 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441668 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441669 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441672: No priority spelling found for lang = no, using alt_name to get "[('no', 'Vedneset')]"
utility_to_osm - WARNING - ssr:stedsnr = 441672 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441684 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441688 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441694 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441701 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441819 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441855 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441862 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441786 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441946 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441984 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441987 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 445589: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kjerringskjæret')]"
utility_to_osm - WARNING - ssr:stedsnr = 450407 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 465104: No priority spelling found for lang = no, using alt_name to get "[('no', 'Kilavik')]"
utility_to_osm - WARNING - ssr:stedsnr = 469473 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 469573 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501108 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501111 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501129 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501213 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501234 has multiple (17) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501238 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 501240: Adding multiple names to name tag, this is not OK! name = "Mølnhusvatnet;Nedre Møllevatnet"
utility_to_osm - WARNING - ssr:stedsnr = 501240 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501245 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501251: No priority spelling found for lang = no, using alt_name to get "[('no', 'Reppa')]"
utility_to_osm - WARNING - ssr:stedsnr = 501251 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501621 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501624 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501625 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501626 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501631 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501633 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501702 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501703 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501713 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 501717 has multiple (2) positions, using the first one!
