utility_to_osm - WARNING - ssr:stedsnr = 685389 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685417 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685421 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685428 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685430 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685432 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685434 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685504 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685507 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685474 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685478 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685479 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685486 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685553 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685565 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685608 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685523 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685525 has multiple (12) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685654 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 685612: Adding multiple names to name tag, this is not OK! name = "Stortjørna;Størtjernet"
utility_to_osm - WARNING - ssr:stedsnr = 685612 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685658 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685660 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685886 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685920 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685923 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 539128 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 542920. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 555270: Adding multiple names to name tag, this is not OK! name = "Reinvassbekken;Regnvassbekken"
utility_to_osm - WARNING - ssr:stedsnr = 555270 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 690694 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 564668 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 600748 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 602952: No priority spelling found for lang = se, using alt_name to get "[('no', 'Sundlifjellet'), ('se', 'Duolbavárdu')]"
utility_to_osm - WARNING - ssr:stedsnr = 617893 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624111 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624112 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624118 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624258 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624266 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624272 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624409 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624312 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624316 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624361 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624365 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624505 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 624459 has multiple (4) positions, using the first one!
