utility_to_osm - WARNING - ssr:stedsnr = 250905 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250917 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251643 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250950 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250953 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250966 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251004 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251011 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 119870. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 120221: No priority spelling found for lang = no, using alt_name to get "[('no', 'Langgårdvegen')]"
utility_to_osm - ERROR - ssr:stedsnr = 120221. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 251186 has multiple (13) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 120768. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 251229 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251287 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251291 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251330 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251335 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251390 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251348 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251360 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251375 has multiple (9) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251381 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251415 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251421 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251434 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251522 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251539 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251543 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251546 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251554 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251563 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251574 has multiple (26) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251575 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251686 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251529 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251584 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251596 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251610 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 251614 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 251644: Adding multiple names to name tag, this is not OK! name = "Tannheimtjønna;Tannåtjønn"
utility_to_osm - WARNING - ssr:stedsnr = 251644 has multiple (2) positions, using the first one!
